NAME;LINE
W 4th St - Washington Sq (Lower);B-D-F-M
Buhre Ave;6-6 Express
51st St;4-6-6 Express
86th St;1-2
Brooklyn Bridge - City Hall;4-5-6-6 Express
33rd St;4-6-6 Express
Lexington Ave - 59th St;4-5-6-6 Express
233rd St;2-5
66th St - Lincoln Ctr;1-2
Hunts Point Ave;6-6 Express
Canal St;1-2
Middletown Rd;6-6 Express
23rd St;4-6-6 Express
45th Rd - Court House Sq;7-7 Express
Astor Pl;4-6-6 Express
59th St - Columbus Circle;1-2
Hunters Point Ave;7-7 Express
96th St;4-6-6 Express
Mets - Willets Point;7-7 Express
23rd St;1-2
Houston St;1-2
3rd Ave - 138th St;6-6 Express
Zerega Ave;6-6 Express
104th St;A-S
Bleecker St (Downtown);4-6-6 Express
Castle Hill Ave;6-6 Express
Broad Channel;A-S
Ocean Pkwy;Q
50th St;1-2
Vernon Blvd - Jackson Ave;7-7 Express
68th St - Hunter College;4-6-6 Express
Queensboro Plz;7-7 Express-N-W
Rockaway Blvd;A-S
Union Sq - 14th St;4-5-6-6 Express
Junction Blvd;7-7 Express
Classon Ave;G
Bedford - Nostrand Aves;G
15th St - Prospect Park;F-G
7th Ave;F-G
Ft Hamilton Pkwy;F-G
Church Ave;F-G
Beverly Rd;B-Q
Church Ave;B-Q
Newkirk Ave;B-Q
Parkside Ave;B-Q
Prospect Park;B-Q-S
Grand Army Plaza;2-3-4
Bergen St;2-3-4
Atlantic Ave;2-3-4-5
Rockaway Ave;A-C
Fulton St;G
Clinton - Washington Aves;G
7th Ave;B-Q
Atlantic Ave;B-Q
Union St;D-N-R
Atlantic Av - Pacific St;D-N-R
Borough Hall;4-5
Aqueduct Racetrack (To Manh Only);A
DeKalb Ave;B-D-N-Q-R
Morris Park;5
Pelham Pkwy;5
Nostrand Ave;A-C
Nevins St;2-3-4-5
Eastern Pkwy - Bklyn Museum;2-3-4
Franklin Ave;2-3-4-5
Beverly Rd;2-5
Church Ave;2-5
Newkirk Ave;2-5
Brooklyn College - Flatbush Ave;2-5
Winthrop St;2-5
Sterling St;2-5
Crown Hts - Utica Ave;3-4
Kingston Ave;3-4
Kingston - Throop Aves;A-C
Nassau Ave;G
Greenpoint Ave;G
Marcy Ave;J-M-Z
Hewes St;J-M
Essex St;J-M-Z
138th St - Grand Concourse;4-5
5th Ave - 53rd St;E-M
Lexington Ave - 53rd St;E-M
28th St;N-R
Herald Sq - 34th St;N-Q-R
1st Ave;L
Grand Central - 42nd St;S
Times Sq - 42nd St;S
42nd St - Bryant Pk;B-D-F-M
Times Sq - 42nd St;N-Q-R
Metropolitan Ave;G
Grand St;L
Graham Ave;L
Lorimer St;L
Bedford Ave;L
Broadway;G
Lorimer St;J-M
Montrose Ave;L
23rd St - Ely Av;E-M
Long Island City - Court Sq;G
21st St;G
39th Ave;N-Q
36th Ave;N-Q
145th St;1
157th St;1
96th St;1-2-3
103rd St;1
Central Park North (110th St);2-3
103rd St;A-B-C
Cathedral Pkwy (110th St);A-B-C
72nd St;1-2-3
72nd St;A-B-C
81st St;A-B-C
75th Ave;E-F
Kew Gardens - Union Tpke;E-F
86th St;A-B-C
96th St;A-B-C
Cathedral Pkwy (110th St);1
116th St - Columbia University;1
125th St;2-3
135th St;2-3
149th St - Grand Concourse;4
116th St;2-3
Tremont Ave;B-D
182nd-183rd Sts;B-D
137th St - City College;1
145th St;3
176th St;4
Burnside Ave;4
170th St;B-D
174th-175th Sts;B-D
168th St;1
181st St;1
168th St;A-C
191st St;1
175th St;A
Beach 44th St;A
Beach 60th St;A
Beach 105th St;A-S
Beach 98th St;A-S
Rockaway Park - Beach 116 St;A-S
Beach 90th St;A-S
Beach 36th St;A
Beach 25th St;A
Parsons Blvd;F
169th St;F
103rd St - Corona Plaza;7
111th St;7
63rd Dr - Rego Park;E-M-R
Grant Ave;A-S
79th St;1-2
Atlantic Ave;L
Christopher St - Sheridan Sq;1-2
E 149th St;6
Ozone Park - Lefferts Blvd;A-S
Times Sq - 42nd St;7-7 Express
77th St;4-6-6 Express
Woodside - 61st St;7-7 Express
111th St;A-S
Flushing - Main St;7-7 Express
W 8th St - NY Aquarium;F-Q
28th St;1-2
28th St;4-6-6 Express
Pelham Bay Park;6-6 Express
Westchester Sq - E Tremont Ave;6-6 Express
18th St;1-2
Grand Central - 42nd St;4-5-6-6 Express
Grand Central - 42nd St;7-7 Express
Canal St;4-6-6 Express
Beach 67th St;A
W 4th St - Washington Sq (Upper);A-C-E
67th Ave;E-M-R
85th St - Forest Pky;J
Woodhaven Blvd;J-Z
111th St;J
121st St;J-Z
Sutphin Blvd - Archer Av;E-J-Z
Halsey St;L
Myrtle Ave;L
New Lots Ave;3-4
Van Siclen Ave;3-4
Pennsylvania Ave;3-4
Van Siclen Ave;A-C
Van Siclen Ave;J-Z
Cleveland St;J
Livonia Ave;L
Sutter Ave;L
Junius St;3-4
Rockaway Ave;3-4
Canarsie - Rockaway Pkwy;L
E 105th St;L
Saratoga Ave;3-4
Sutter Ave - Rutland Road;3-4
New Lots Ave;L
Far Rockaway - Mott Ave;A
Chauncey St;J-Z
Broadway Junction;J-Z
Halsey St;J
Alabama Ave;J
Shepherd Ave;A-C
Norwood Ave;J-Z
Crescent St;J-Z
Cypress Hills;J
75th St - Eldert Ln;J-Z
69th St;7
74th St - Broadway;7
65th St;E-M-R
Woodhaven Blvd - Queens Mall;E-M-R
Wyckoff Ave;M
Seneca Ave;M
DeKalb Ave;L
52nd St;7
46th St;E-M-R
Northern Blvd;E-M-R
46th St;7
82nd St - Jackson Hts;7
90th St - Elmhurst Av;7
Grand Ave - Newtown;E-M-R
Elmhurst Ave;E-M-R
Howard Beach - JFK Airport;A
Aqueduct - North Conduit Av;A
104th-102nd Sts;J-Z
Briarwood - Van Wyck Blvd;E-F
Forest Hills - 71st Av;E-F-M-R
Sutphin Blvd;F
Jamaica - Van Wyck;E
Jamaica Ctr - Parsons / Archer;E-J-Z
Simpson St;2-5
Freeman St;2-5
225th St;2-5
Elder Ave;6
Morrison Av - Soundview;6
Longwood Ave;6
Astoria Blvd;N-Q
Astoria - Ditmars Blvd;N-Q
Jackson Ave;2-5
Prospect Ave;2-5
Cypress Ave;6
Whitlock Ave;6
Intervale Ave;2-5
174th St;2-5
Pelham Pkwy;2-5
Allerton Ave;2-5
E 143rd St - St Mary's St;6
Kingsbridge Rd;4
Bedford Park Blvd - Lehman College;4
Harlem - 148 St;3
Mt Eden Ave;4
Fordham Rd;B-D
170th St;4
Kingsbridge Rd;B-D
Bedford Park Blvd;B-D
Marble Hill - 225th St;1
231st St;1
215th St;1
207th St;1
Inwood - 207th St;A
238th St;1
Van Cortlandt Park - 242nd St;1
West Farms Sq - E Tremont Av;2-5
St Lawrence Ave;6
Bronx Park East;2-5
Gun Hill Rd;2-5
219th St;2-5
Mosholu Pkwy;4
Norwood - 205th St;D
Burke Ave;2-5
Baychester Ave;5
Eastchester - Dyre Ave;5
Jamaica - 179th St;F
Wakefield - 241st St;2
Botanic Garden;S
Bushwick - Aberdeen;L
Wilson Ave;L
Broadway Junction;L
Gun Hill Rd;5
E 180th St;2-5
Dyckman St;1
125th St;1
Park Pl;S
Franklin Ave - Fulton St;S
Nereid Ave (238 St);2-5
149th St - Grand Concourse;2-5
3rd Ave - 149th St;2-5
161st St - Yankee Stadium;4
167th St;4
Brook Ave;6
33rd St;7
40th St;7
145th St;A-B-C-D
155th St;B-D
161st St - Yankee Stadium;B-D
167th St;B-D
Ralph Ave;A-C
Utica Ave;A-C
36th St;E-M-R
Steinway St;E-M-R
Kosciuszko St;J
Gates Ave;J-Z
Central Ave;M
Knickerbocker Ave;M
Broadway;N-Q
30th Ave;N-Q
Jefferson St;L
Morgan Ave;L
Queens Plz;E-M-R
18th Ave;F
Ditmas Ave;F
77th St;R
Bay Ridge Ave;R
55th St;D
50th St;D
Ft Hamilton Pkwy;N
8th Ave;N
25th Ave;D
Bay Pky;D
20th Ave;N
18th Ave;N
Bay Ridge - 95th St;R
86th St;R
79th St;D
71st St;D
20th Ave;D
18th Ave;D
62nd St;D
New Utrecht Ave;N
Ave U;F
Kings Hwy;F
Brighton Beach;B-Q
Sheepshead Bay;B-Q
Ave U;B-Q
Kings Hwy;B-Q
Ave U;N
Kings Hwy;N
Neptune Ave;F
Ave X;F
Bay 50th St;D
Gravesend - 86th St;N
Ave P;F
Ave N;F
Bay Pky;F
Ave M;B-Q
Bay Pky;N
Ave I;F
Ave J;B-Q
Ave H;B-Q
Neck Rd;B-Q
21st St - Queensbridge;F
50th St;A-C-E
7th Ave;B-D-E
47th-50th Sts - Rockefeller Ctr;B-D-F-M
57th St;F
Lexington Ave - 63rd St;F
Roosevelt Island - Main St;F
59th St - Columbus Circle;A-B-C-D
49th St;N-Q-R
57th St;N-Q-R
5th Ave - 59th St;N-Q-R
Lexington Ave - 59th St;N-Q-R
34th St - Penn Station;1-2-3
Times Sq - 42nd St;1-2-3
Broadway - Nassau St;A-C
Chambers St;A-C
42nd St - Port Authority Bus Term;A-C-E
Myrtle-Willoughby Aves;G
Flushing Ave;G
23rd St;F-M
Herald Sq - 34th St;B-D-F-M
Hoyt - Schermerhorn Sts;A-C-G
Jay St - Borough Hall;A-C-F
East Broadway;F
Delancey St;F
Lower East Side - 2nd Ave;F
Flushing Ave;J-M
Myrtle Ave;J-M-Z
4th Ave;F-G
Smith - 9th Sts;F-G
Bergen St;F-G
Lawrence St;N-R
Court St;N-R
Union Sq - 14th St;N-Q-R
23rd St;N-R
Prospect Ave;D-N-R
9th St;D-N-R
3rd Ave;L
Union Sq - 14th St;L
Liberty Ave;A-C
Broadway Junction;A-C
59th St;N-R
45th St;N-R
36th St;D-N-R
9th Ave;D
53rd St;N-R
Ft Hamilton Pkwy;D
25th St;D-N-R
Carroll St;F-G
Spring St;A-C-E
181st St;A
190th St;A
116th St;A-B-C
125th St;A-B-C-D
Prince St;N-R
8th St - NYU;N-R
Fulton St;2-3
Park Pl;2-3
Chambers St;1-2-3
Hoyt St;2-3
Borough Hall;2-3
183rd St;4
Fordham Rd;4
World Trade Center;E
Canal St - Holland Tunnel;A-C-E
155th St;A-C
163rd St - Amsterdam Av;A-C
Fulton St;J-Z
Chambers St;J-Z
Canal St;J-Z
City Hall;N-R
Canal St;N-R
South Ferry;1
Bowling Green;4-5
Wall St;4-5
Whitehall St;N-R
Rector St;N-R
Fresh Pond Rd;M
Middle Village - Metropolitan Ave;M
Rector St;1
Cortlandt St (Temporarily Closed);1
Fulton St;4-5
Broad St;J-Z
Cortlandt St (NB only);N-R
Wall St;2-3
Dyckman St;A
Grand St;B-D
Broadway - Lafayette St;B-D-F-M
Bowery;J-Z
Canal St;N-Q
23rd St;A-C-E
34th St - Penn Station;A-C-E
Jackson Hts - Roosevelt Av;E-F-M-R
14th St;1-2-3
135th St;A-B-C
14th St;F-M
6th Ave;L
8th Ave;L
14th St;A-C-E
Nostrand Ave;3-4
Clark St;2-3
Franklin Ave;A-C
Clinton - Washington Aves;A-C
Forest Ave;M
110th St;4-6-6 Express
86th St;4-5-6-6 Express
York St;F
High St;A-C
Lafayette Ave;A-C
President St;2-5
Woodlawn;4
Bleecker St (Uptown);4-6-6 Express
103rd St;4-6-6 Express
Euclid Ave;A-C-S
88th St;A-S
Cortelyou Rd;B-Q
116th St;4-6-6 Express
Parkchester;6-6 Express
Franklin St;1-2
80th St;A-S
5th Ave - Bryant Pk;7-7 Express
Spring St;4-6-6 Express
125th St;4-5-6-6 Express
Coney Island - Stillwell Av;D-F-N-Q